vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,model_freq,brand_BMW,brand_Datsun,brand_Ford,brand_Honda,brand_Hyundai,brand_Jaguar,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Other,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual
3,50000,25.8,1498,98.6,5,720000,362,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
5,52000,25.32,1198,77.0,5,375000,66,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
6,35000,19.44,1198,67.0,7,400000,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,48000,19.87,1461,83.8,5,600000,217,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
3,18000,18.7,1199,88.7,5,600000,174,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
9,57413,14.4,998,61.7,5,270000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
6,30000,18.6,1197,81.83,5,500000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,55000,23.9,1582,126.2,5,650000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
3,10000,21.21,1197,81.8,5,660000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5,68000,22.69,1995,190.0,5,2090000,152,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,8000,16.8,1497,113.4,5,1275000,28,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
6,65000,28.4,1248,74.0,5,495000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
5,25000,18.9,1197,82.0,5,475000,580,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,70000,20.73,1373,91.1,5,530000,346,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,9500,23.84,1199,84.0,5,530000,145,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True
6,9100,17.01,1591,121.3,5,650000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
11,86000,17.0,1497,118.0,5,335000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
8,78000,16.55,1968,147.51,5,1290000,99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10,60000,20.0,1399,68.0,5,300000,270,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2,7883,21.5,1197,81.8,5,550000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
8,50205,23.4,1248,74.0,5,390000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True
13,220000,13.6,2523,63.0,7,260000,210,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
4,58000,24.7,1047,69.0,5,395000,37,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
9,170000,12.05,2179,120.0,8,550000,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
3,15000,22.0,1197,81.8,5,650000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,71245,28.4,1248,74.0,5,375000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2,7000,16.1,1353,138.0,5,1300000,28,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
3,20000,23.95,998,67.05,5,360000,778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
1,8700,21.63,998,67.04,5,505000,237,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2,25000,24.7,796,47.3,5,310000,778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,42000,18.6,1197,81.86,5,545000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
15,120000,13.6,2523,63.0,7,150000,210,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
3,50000,21.4,1197,83.1,5,580000,364,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
10,58000,18.9,998,67.1,5,250000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
4,36000,17.43,1396,105.5,5,650000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
3,30000,25.47,1248,88.5,7,410000,343,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
6,162828,22.77,1498,98.59,5,531000,373,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
3,7500,23.0,1498,98.96,5,890000,373,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
5,47227,14.0,2179,138.1,7,775000,100,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
3,52000,33.54,998,67.04,5,435000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,74000,20.0,1399,68.05,5,185000,270,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
10,47000,15.96,2523,62.1,7,440000,210,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
6,50000,18.6,1197,81.83,5,450000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
4,100000,21.4,1197,83.1,5,600000,364,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
7,35000,23.1,998,67.04,5,320000,237,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,50000,21.19,1396,88.73,5,700000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
3,10000,18.16,1196,86.8,5,630000,65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,10370,22.74,796,47.3,5,320000,778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
8,62000,16.8,1497,116.3,5,465000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,40000,18.6,1197,81.83,5,550000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
4,60000,22.0,1197,81.8,5,445000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
8,67231,14.0,2179,138.1,7,705000,100,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
8,64000,33.54,998,67.04,5,270000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,63000,26.0,1498,98.6,5,475000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
6,80000,12.55,2982,168.5,7,1755000,186,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
10,55000,16.9,1497,100.0,5,350000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,11000,18.6,1197,81.83,5,575000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
4,17000,23.01,999,67.0,5,360000,306,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
4,25000,24.7,796,47.3,5,275000,778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,33350,19.44,1198,67.0,7,320000,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,62000,18.9,1197,82.0,5,370000,580,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
12,59000,17.5,1298,85.8,5,275000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
7,86113,17.4,1497,117.3,5,550000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,10000,28.4,1248,74.02,5,750000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
6,92537,20.51,998,67.04,5,272000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
